,affiliations
0,"Liverpool Business School, Liverpool John Moores University, Liverpool, UK, Tay Bac University, Son La, Vietnam, Vietnam Japan University (Vietnam National University), Hanoi, Vietnam, Phu Xuan University, Hue, Vietnam, Liverpool Business School, Liverpool John Moores University, Liverpool, UK"
1,"School of Public Health and Tropical Medicine, Tulane University, New Orleans, LA, USA, University of Social Sciences and Humanities, Vietnam National University, Hanoi, Vietnam, College of Social Work, University of South Carolina, Columbia, SC, USA, School of Nursing, University of Minnesota, Minneapolis, MN, USA"
